1CS-1	ASSESSOR	MARI A. WILSON	81
1CS-1	ATTORNEY GENERAL	DAVE JONES	10
1CS-1	ATTORNEY GENERAL	ERIC EARLY	9
1CS-1	ATTORNEY GENERAL	STEVEN C. BAILEY	27
1CS-1	ATTORNEY GENERAL	XAVIER BECERRA	68
1CS-1	AUDITOR-CONTROLLER	KAREN PAZ DOMINGUEZ	57
1CS-1	AUDITOR-CONTROLLER	MIKE LORIG	43
1CS-1	CLERK, RECORDER, REGISTRAR OF VOTERS	KELLY E. SANDERS	88
1CS-1	CONTROLLER	BETTY T. YEE	83
1CS-1	CONTROLLER	KONSTANTINOS RODITIS	27
1CS-1	CONTROLLER	MARY LOU FINLEY	5
1CS-1	DISTRICT ATTORNEY	MAGGIE FLEMING	96
1CS-1	GOVERNOR	AKINYEMI AGBEDE	0
1CS-1	GOVERNOR	ALBERT CAESAR MEZZETTI	0
1CS-1	GOVERNOR	AMANDA RENTERIA	0
1CS-1	GOVERNOR	ANTONIO VILLARAIGOSA	5
1CS-1	GOVERNOR	CHRISTOPHER N. CARLSON	1
1CS-1	GOVERNOR	DELAINE EASTIN	13
1CS-1	GOVERNOR	DESMOND SILVEIRA	0
1CS-1	GOVERNOR	GAVIN NEWSOM	56
1CS-1	GOVERNOR	GLORIA ESTELA LA RIVA	1
1CS-1	GOVERNOR	HAKAN "HAWK" MIKADO	0
1CS-1	GOVERNOR	J. BRIBIESCA	7
1CS-1	GOVERNOR	JEFFREY EDWARD TAYLOR	0
1CS-1	GOVERNOR	JOHN CHIANG	2
1CS-1	GOVERNOR	JOHN H. COX	28
1CS-1	GOVERNOR	JOHNNY WATTENBURG	0
1CS-1	GOVERNOR	JOSH JONES	1
1CS-1	GOVERNOR	KLEMENT TINAJ	0
1CS-1	GOVERNOR	MICHAEL SHELLENBERGER	0
1CS-1	GOVERNOR	NICKOLAS WILDSTAR	0
1CS-1	GOVERNOR	PETER Y. LIU	0
1CS-1	GOVERNOR	ROBERT C. NEWMAN, II	0
1CS-1	GOVERNOR	ROBERT DAVIDSON GRIFFIS	0
1CS-1	GOVERNOR	SHUBHAM GOEL	0
1CS-1	GOVERNOR	THOMAS JEFFERSON CARES	1
1CS-1	GOVERNOR	TRAVIS ALLEN	7
1CS-1	GOVERNOR	YVONNE GIRARD	1
1CS-1	GOVERNOR	ZOLTAN ISTVAN	0
1CS-1	INSURANCE COMMISSIONER	ASIF MAHMOOD	20
1CS-1	INSURANCE COMMISSIONER	NATHALIE HRIZI	6
1CS-1	INSURANCE COMMISSIONER	RICARDO LARA	53
1CS-1	INSURANCE COMMISSIONER	STEVE POIZNER	26
1CS-1	JUDGE OF THE SUPERIOR COURT	LATHE GILL	37
1CS-1	JUDGE OF THE SUPERIOR COURT	LAWRENCE KILLORAN	66
1CS-1	LIEUTENANT GOVERNOR	CAMERON GHARABIKLOU	2
1CS-1	LIEUTENANT GOVERNOR	COLE HARRIS	15
1CS-1	LIEUTENANT GOVERNOR	DANNY THOMAS	2
1CS-1	LIEUTENANT GOVERNOR	DAVID FENNELL	10
1CS-1	LIEUTENANT GOVERNOR	DAVID R. HERNANDEZ	4
1CS-1	LIEUTENANT GOVERNOR	ED HERNANDEZ	28
1CS-1	LIEUTENANT GOVERNOR	ELENI KOUNALAKIS	24
1CS-1	LIEUTENANT GOVERNOR	GAYLE MCLAUGHLIN	14
